"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"DNAJC15",7.65584,8.84318,9.25294,8.65037,8.52311,8.85334,8.90777,8.15604,9.03666,7.67952,8.98004,7.98695,8.16069,7.14,9.1488,8.10282,7.72485,9.0571,9.54816,6.74017,7.93344,8.88901,9.8448,7.09451,8.92914,8.18842,7.46805,8.8327,9.28082,7.9209,9.47613,7.92132,8.53444,5.833,8.49684,8.86778,9.76328,8.48531,8.37186,6.29346,8.77244,9.06467,7.15603,8.99375,7.68204,9.61268,7.74873,9.10572,6.88931,9.05736,8.41725,9.04418,8.22649,8.61405,8.56318,9.19582,6.62144,8.95962,8.20078,7.31991,7.32618,8.20116,8.70296,9.06511,9.56219,8.56168,7.28413,8.14279,8.77323,8.90048,8.47853,9.65291,9.49612,7.79399,7.88432,8.6556,8.39202,8.23547,9.3683,8.54174,8.95366,8.95615,8.50216,8.54155,8.09386,9.2822,10.03383,8.89678,6.7557,8.08644,8.67268,8.57896,9.10085,8.77642,8.4783,9.54237,7.06458,7.49418,9.25789,8.6819
"SECISBP2L",7.26109,7.25618,7.30096,7.25608,8.25694,7.56952,7.69257,7.54225,7.93142,7.47135,7.58785,7.06757,7.47884,7.11481,7.68079,8.17633,7.61523,7.89784,6.71992,5.75968,7.26136,7.0615,8.12216,7.3077,7.87011,7.03087,7.04201,7.56972,6.95138,6.87541,8.03832,7.31043,8.13138,6.75748,7.01417,7.75233,7.36427,7.30894,7.87551,7.57282,7.83216,7.39774,7.69923,7.94483,7.28918,7.50748,7.0978,8.23288,6.84189,7.62027,7.99704,7.78719,6.52325,7.65673,9.30898,7.78485,7.63136,7.58118,7.54213,8.39804,7.29713,6.80446,8.45315,8.21647,6.73661,7.2411,6.48299,7.67536,7.1287,8.13826,6.3935,7.86291,7.13511,7.35163,7.39671,7.76261,7.88748,7.35503,7.23063,7.09238,7.71234,8.20284,8.13857,7.12973,7.137,8.31505,8.20103,8.19007,7.56683,7.97547,7.28243,8.06639,8.00431,8.39154,6.68318,7.66199,6.96905,8.00005,7.5866,7.41629
"PARN",8.52001,9.07269,8.83307,8.63291,9.18579,9.02084,9.08511,9.23645,8.58719,9.10618,9.39255,9.2105,9.26555,9.36961,9.6307,9.30839,9.40583,8.98193,9.63611,9.19904,9.4164,8.78415,8.81474,9.13797,9.24492,9.40221,9.0595,8.42983,9.22516,9.64038,9.88118,9.0595,9.1008,9.52992,9.63485,8.77741,9.24837,9.39341,8.96962,9.62346,8.4837,8.95532,9.62954,8.8238,8.95777,9.25931,8.78141,8.70761,8.80749,8.64513,9.0792,9.57223,9.02146,9.05442,8.63375,9.25462,9.30232,8.66493,9.07048,8.84472,9.151,8.89462,9.07581,8.69546,9.02738,8.63567,9.22895,8.61185,8.78273,8.41337,9.45281,8.72922,8.98633,9.3003,8.68421,9.51284,9.11808,9.29507,10.54386,9.4756,8.93033,8.84334,9.75018,9.43399,9.10508,8.98707,9.33838,8.87408,9.2891,8.64201,9.20162,8.98877,8.74637,10.41493,8.74053,9.13711,8.9394,9.19969,9.20846,8.71416
"EGR1",9.43001,10.93565,8.85644,9.05268,8.48371,9.39057,9.35756,10.46077,8.15237,10.09295,10.14781,9.98927,9.17624,10.21821,8.60501,9.46809,10.45722,9.07761,9.05459,7.75816,10.45428,8.89087,9.52392,10.20551,9.51671,11.72141,8.96358,7.88614,7.49228,10.49469,10.21956,8.82497,9.59961,9.05354,8.52533,8.16323,9.34603,10.56955,9.8477,8.39875,10.50116,9.24702,9.95428,9.50174,10.38185,9.14722,9.21436,8.05112,8.78053,10.25338,9.84509,9.48517,10.75477,11.56301,7.7949,10.35016,9.32319,8.99096,10.67347,9.81755,9.4987,9.45763,10.52504,10.95676,10.95497,9.39831,10.07416,11.67394,8.01694,9.80584,9.7032,11.17565,7.87299,9.56598,10.46366,10.63264,10.98157,10.1565,9.80622,9.12372,8.59815,9.55415,10.51879,8.65099,9.39834,10.87701,8.0168,9.3449,10.35959,11.10433,8.66857,10.65117,7.80278,10.55892,10.27342,9.27005,9.49786,8.17,7.99988,10.35813
"HMCES",8.90501,8.1983,9.04066,8.96715,7.84013,8.06677,8.21448,8.15622,8.91923,8.28002,8.38223,8.86109,8.51183,8.18904,8.9977,8.40178,8.98384,7.67113,8.77328,8.91549,8.95776,8.48097,8.18698,8.63182,8.1109,8.89285,8.19733,8.69753,9.35049,9.97052,7.95172,9.66882,7.9796,8.69868,9.45031,8.99144,8.61921,9.42637,8.13414,8.73072,8.60883,8.61788,9.07215,7.98232,8.3191,8.42381,9.08179,8.87449,9.59223,9.15064,7.95303,8.46806,9.20723,8.37794,8.52724,8.42849,8.42984,8.1435,8.76341,8.37857,8.5128,9.14108,8.43184,8.23996,8.89006,8.95263,8.44551,8.45129,8.74195,7.62705,8.69121,8.39567,8.19096,9.09137,8.73475,8.43742,8.22106,9.45976,8.19562,9.0322,8.52914,7.90285,7.84805,8.45008,9.31405,8.26346,8.15775,8.47735,8.46119,8.22249,9.55139,8.33945,8.7699,8.16072,9.311,8.43545,8.76937,9.07056,8.39735,8.15643
"C5orf47",3.30209,3.54251,3.57565,3.34787,3.41052,3.36126,3.26103,3.36299,3.35309,3.41356,3.48101,3.56105,3.44104,3.41009,3.38686,3.37181,3.2901,3.42264,3.43485,3.29386,3.5409,3.32333,3.48723,3.26896,3.25244,3.30483,3.5019,3.39823,3.3979,3.53873,3.54936,3.36453,3.62261,3.46552,3.46271,3.53818,3.5141,3.36392,3.26273,3.25163,3.37221,3.47223,3.30402,3.259,3.44122,3.42836,3.27483,3.4075,3.44929,3.65018,3.28855,3.43507,3.48525,3.44328,3.37439,3.61686,3.70482,3.29015,3.26511,3.49238,3.50168,3.45644,3.57526,3.3426,3.24766,3.32255,3.38799,3.53742,3.43051,3.35354,3.31189,3.35084,3.41028,3.26435,3.3592,3.48901,3.42153,3.29659,3.39634,3.50424,3.63894,3.42095,3.47658,3.35858,3.49796,3.39381,3.30759,3.35304,3.43991,3.39146,3.48744,3.50071,3.27753,3.52598,3.39362,3.53192,3.60318,3.4963,3.45863,3.54677
"ICT1",9.18576,9.30943,9.96944,9.08469,8.39179,8.35891,8.91318,9.58803,9.92248,9.43266,9.38641,8.54838,9.02557,9.90807,9.22315,9.4108,8.90281,9.21147,9.8799,9.74223,9.01351,9.76014,9.72854,9.41945,9.13352,9.15267,9.39177,8.73312,8.75612,8.08901,9.25069,8.60733,8.9402,9.93203,9.81487,10.02884,9.28828,9.07169,9.25373,9.01462,9.18427,9.34099,8.98432,8.51874,9.19141,9.44814,9.26287,8.87311,10.0779,9.12479,8.4452,8.93091,8.65895,9.15263,9.16489,8.99307,9.0586,9.27851,9.46428,8.81645,9.86364,8.13529,8.65485,8.69929,9.06385,8.78757,8.70762,9.39736,8.35596,8.09144,10.08611,8.80808,9.41785,9.54338,8.48704,9.74019,9.22737,9.21854,9.26412,9.27568,9.3673,9.04727,8.68548,9.11016,9.13491,9.13745,8.66959,10.52806,9.38314,8.63841,9.48835,9.29841,8.72314,8.68454,9.09003,9.31413,9.41898,8.43369,9.48475,9.65203
"SERPINB13",7.62869,3.47875,3.62328,8.64024,3.60489,9.14988,3.32319,6.39697,3.40077,3.52762,3.63118,9.39903,3.55995,6.91602,3.58416,11.07782,3.54937,3.62609,9.08246,6.50302,4.75822,3.6322,3.48349,7.88,3.45792,5.76233,3.60862,3.29073,3.6053,10.28951,3.6083,3.5052,3.53344,9.30996,7.08344,6.14324,3.69344,6.96026,4.13943,6.85805,3.49986,3.82971,6.3632,3.50515,3.62595,3.39153,3.39905,3.57745,10.10622,10.37304,3.61329,3.54588,4.89977,3.61028,3.47945,4.35623,3.53467,3.65383,3.4773,3.53245,7.42637,8.34901,3.6729,3.59526,7.05706,9.32585,8.07801,3.63897,3.50869,3.53756,8.35686,3.52228,3.61157,4.56506,8.57284,3.58474,3.49787,6.16194,3.50953,4.88365,4.15939,3.46094,3.59952,3.69711,3.71088,3.5281,3.62507,3.62637,6.63175,8.45863,3.55172,3.39802,3.75681,3.50793,7.57243,3.55107,9.37825,9.31717,3.40164,3.52798
"LOC100506302",6.32985,6.43016,6.54918,6.00792,5.99747,5.35882,6.34343,6.06445,6.47216,5.66036,6.70808,6.07847,6.78437,5.53334,6.33365,5.92875,6.69851,7.60256,5.6823,5.64889,6.35211,6.51341,5.23035,5.90284,6.47896,6.04587,5.33994,5.59483,6.01193,5.81873,5.71506,5.86979,5.50237,6.25039,5.99639,6.08569,5.96696,6.55686,6.25744,5.66781,6.03115,5.65464,6.68684,5.21035,6.96303,5.89718,5.49783,5.9438,6.64044,5.3366,5.34259,6.22525,5.294,5.77069,5.64085,5.61299,5.62062,6.20787,5.28037,6.67688,6.40452,5.27599,7.5313,6.67599,5.16473,5.88277,5.73789,5.72714,6.19527,5.76585,5.17899,5.95338,5.71158,6.16515,5.75087,6.09821,5.68411,6.26434,6.69151,6.957,6.21865,6.28128,6.72076,7.0866,6.06725,6.62051,5.67092,5.69584,6.02788,5.82899,6.11667,6.13465,5.91235,6.27781,5.86952,5.71073,5.51875,5.94076,5.83514,5.56837
"NLRP8",5.59377,5.47243,5.61271,5.65567,5.52542,5.94183,5.44485,5.42141,5.44434,5.52623,5.7372,5.84064,5.82995,5.55505,5.70675,5.47914,5.80602,5.55352,5.5965,5.6345,5.5318,5.63808,5.8118,5.38754,5.37041,5.53799,5.61558,5.07159,5.74935,5.56738,5.51715,5.4205,5.62506,5.86428,5.63388,5.83989,5.50694,5.61976,5.60587,5.43045,5.62025,5.35224,5.62445,5.58299,5.64759,5.62798,5.37558,5.50787,5.55481,5.51695,5.41566,5.66815,5.64519,5.61628,5.40607,5.75654,5.96323,5.22646,5.22082,5.85004,5.69844,5.57516,5.79265,5.86055,5.92682,5.50518,6.05949,5.74375,5.62873,5.51685,5.68041,5.38707,5.44817,5.54736,5.47469,5.55202,5.63044,5.49393,5.73548,6.22871,5.76456,5.72323,6.11919,5.55953,5.84304,5.55616,5.7773,5.61065,5.5232,5.74082,5.59362,5.86537,5.64708,5.77822,5.37293,5.68366,5.88175,5.59904,5.46224,5.45369
"CD81",12.47752,12.35473,12.28276,11.72816,11.87473,12.33086,11.44985,11.8391,12.52621,12.18651,12.33134,12.07703,11.71762,12.22137,12.12351,12.36092,11.78123,12.16536,11.82397,12.30874,12.32005,12.07564,12.18732,11.9718,12.22261,11.75321,12.27954,12.43559,11.63676,12.11472,12.52401,12.15386,12.50267,12.06922,12.21754,11.19998,11.97275,12.22516,12.46535,11.75035,11.66349,12.13056,12.14556,12.19891,11.99288,12.45364,11.98899,12.01938,11.85873,11.5348,13.02304,12.4678,12.1659,13.05112,11.51359,12.91879,11.7535,11.94717,12.1607,12.51008,12.03641,11.33345,12.77717,11.59832,11.90181,11.63075,11.44016,12.08086,12.38654,12.76525,12.47126,12.56244,12.07561,12.91539,12.23641,11.74613,12.50509,12.03928,12.82388,12.2802,11.70589,12.16347,12.11614,11.67025,11.75675,12.42504,10.86873,11.91508,11.98675,12.60708,11.50544,12.11892,12.51264,12.28603,12.52766,12.89116,12.23063,12.00698,10.96014,10.44949
"ARL8A",7.44057,7.63332,7.80459,7.48816,8.24561,7.75178,7.65186,7.95271,7.442,7.88318,7.74178,7.90176,7.4574,8.23194,7.73967,7.86041,7.95392,7.74309,7.982,7.591,7.7384,8.04428,8.21637,7.80754,7.59327,7.38685,7.5834,7.88076,8.06375,7.6935,7.95481,7.89505,8.09601,7.73317,7.83902,7.82967,8.11721,7.79225,8.34354,7.51549,7.88069,7.87079,7.8798,7.74068,7.63195,7.82327,8.11135,8.04992,8.04961,7.75471,7.88616,8.03048,7.59522,8.14294,7.5385,7.76645,7.77163,7.66283,8.04899,7.79409,7.27741,7.6217,7.66196,7.54609,7.94296,8.00571,7.41885,7.86052,8.01438,8.14456,7.58754,8.21291,7.6355,7.58989,7.52511,8.2629,8.26538,7.9217,7.75041,7.60837,7.52335,7.88402,7.67385,7.50952,8.16263,7.71426,7.882,7.62282,7.92808,7.82176,7.53641,7.85383,8.08009,7.95481,7.67464,8.19841,7.66109,7.79311,7.49857,7.67375
"ZCCHC14",7.26361,7.14089,7.29369,7.81627,6.99986,7.22102,6.75908,7.26582,7.29987,7.25338,7.46247,6.84087,7.24491,7.54895,7.60171,7.93874,6.91495,7.35338,6.6361,7.48274,7.5592,7.14544,7.72778,8.1462,7.33397,7.52495,7.53928,7.63096,7.19057,7.7485,7.0184,6.68329,7.61175,7.3066,7.52438,6.99112,7.57941,6.9804,7.49603,7.95694,7.07946,6.65552,6.88926,7.05564,7.2486,7.38102,7.35446,7.52064,7.17961,7.44407,7.39163,7.37805,7.19254,7.40567,7.01527,7.15465,7.50004,7.6005,7.46969,7.60718,7.30571,7.18537,7.12227,7.48943,7.38106,7.30577,6.79576,7.20129,6.9063,7.06193,7.57598,7.37462,6.82501,6.80884,6.89765,7.28165,7.54621,7.00798,7.36687,6.79554,7.27427,7.18955,7.37884,7.2972,6.96487,7.2502,6.57217,7.00433,7.15141,7.15079,7.77951,7.0692,7.21118,7.3144,7.0829,7.32092,8.02406,7.28843,6.96174,7.2228
"IGLV1-40",8.14098,6.622,10.25213,9.97493,10.53836,11.9617,11.48281,8.53048,9.14441,9.83577,10.21656,10.17695,9.51472,7.35237,9.68702,11.57151,10.51505,8.20181,10.84227,9.99699,9.715,12.40614,9.27956,8.73121,9.87133,8.61093,10.89363,9.04731,8.5443,9.63396,6.382,8.84932,11.49971,9.57188,9.62424,5.66631,8.4711,11.19763,10.8182,9.45336,12.25348,12.01771,10.03787,10.95812,9.25175,11.06174,8.38598,8.53169,6.77527,7.52936,10.23756,11.78427,5.84774,10.68518,10.79568,6.94891,8.72529,10.06035,10.03972,9.73246,7.24598,7.49173,7.33879,7.60744,10.51528,7.18782,9.8941,9.95485,11.44372,8.25056,10.37862,7.35095,10.41798,8.80999,7.67331,8.71949,11.32432,12.39876,7.89177,10.69818,9.67006,11.67334,9.07375,7.02907,11.87283,9.21703,7.16891,9.72956,10.1382,10.20705,10.03936,11.64499,10.74649,8.27043,8.95848,10.15145,8.6925,7.47935,8.9745,7.81304
"C4orf3",10.91283,10.64099,10.01053,11.14188,9.91346,10.23532,11.08309,10.41357,9.36938,10.24656,10.72846,9.76516,10.67409,10.50357,9.76235,10.9176,10.99158,10.95244,9.70644,10.39392,10.869,10.22863,10.28822,10.88726,10.82517,10.88469,10.27636,10.30044,10.42595,10.9558,10.92717,9.85118,9.6146,9.48502,10.00842,11.47903,10.04791,10.86473,10.8079,10.64089,10.59331,10.20037,10.4591,10.7046,10.37157,10.51391,10.14235,9.70242,10.35883,10.44999,10.46452,10.34417,10.58934,10.61095,10.58855,11.1148,10.49915,8.49737,10.28602,10.2662,11.36489,10.69552,11.03538,10.18259,11.14143,10.62775,10.83867,10.50999,10.67393,10.41631,10.22458,11.30194,10.48617,11.04933,11.36384,10.87235,10.63253,10.54986,10.61011,11.69269,10.23009,10.5086,9.94246,11.38084,9.96214,10.38226,10.57774,9.70087,10.41961,11.23569,11.31549,10.91495,9.2836,10.89539,10.6119,10.38842,11.51949,9.97463,10.23469,9.43339
"SCLT1",6.97549,6.42223,6.26843,6.09027,6.39022,5.63537,6.00033,6.50181,6.41394,6.26413,5.85954,5.66419,6.86503,4.15877,6.05228,5.97425,6.45738,6.1258,5.55935,5.27605,5.89481,5.97012,5.46812,6.45081,6.42862,5.81482,6.23278,6.41561,5.57253,6.19665,5.22798,5.7123,5.33342,5.41859,5.26943,7.58769,6.01629,5.6626,6.03481,6.89136,5.44242,6.13786,5.60733,5.63268,6.05713,5.54659,7.0782,6.14531,5.80385,6.89201,5.31001,6.10191,6.28769,6.0579,5.32225,6.05823,6.2719,5.68346,5.68973,5.12103,6.96551,5.40838,5.57944,6.36785,5.37694,5.72686,4.99555,5.90737,5.74373,5.93355,6.32168,5.99099,5.80184,5.38068,6.42469,6.10977,5.68445,5.52917,5.56895,5.81475,6.5235,6.3201,6.24689,5.85877,4.837,6.0626,6.32104,6.13603,6.38556,6.16902,6.26452,6.45167,5.8818,6.00641,5.70152,5.54835,6.00193,4.75068,5.53289,5.39489
"NR1I3",3.95326,3.95452,4.11637,3.98549,3.89142,4.10681,4.26861,4.22042,3.93082,3.8091,4.03466,4.20107,4.07552,4.28214,3.91741,4.1158,4.04993,3.78244,4.13828,4.0678,4.15181,3.77722,4.10089,4.02054,3.79782,3.91627,3.94806,3.43876,4.02622,4.01073,4.00792,3.98202,4.01073,3.85077,4.08362,4.00994,4.23686,3.89607,3.93666,3.931,3.80113,3.78839,4.14701,3.77091,4.36998,3.81476,3.6184,4.12927,4.11471,4.05823,4.17134,4.04185,4.02652,4.23318,3.75702,3.77508,4.23853,3.97289,3.88425,3.75873,4.53476,4.10489,4.20883,4.38546,3.93208,3.89341,5.0969,3.98091,4.20582,4.48927,4.17277,3.94525,4.14915,4.05918,3.97692,4.02903,4.08722,3.98872,3.98196,4.13901,3.85054,3.84212,4.34276,3.66319,4.48612,3.86551,4.11156,4.04206,3.9982,3.80703,3.90304,4.06864,4.38045,3.91822,3.67863,3.9633,4.42623,3.98783,3.88704,3.98727
"TXLNGY",4.13217,6.49447,7.11978,4.08816,4.12085,4.06241,7.60381,5.90471,4.97835,4.03408,4.14847,4.97442,3.94345,4.37352,6.45087,4.85175,7.63445,3.98761,4.97794,4.65593,7.67362,3.97315,3.98038,5.47739,5.54483,5.77353,7.29817,7.00014,6.86556,7.4433,4.01578,6.49584,7.53281,4.77167,4.70943,4.6879,4.96902,5.86183,4.1612,5.19371,4.15225,3.72623,7.17588,3.86011,6.42316,5.4295,3.60723,4.09404,5.65325,4.01389,4.01972,4.18999,4.67747,6.95261,3.87808,5.91295,5.14547,4.14695,3.91287,6.9844,7.45769,4.01458,7.91708,7.64437,6.26402,5.78093,4.53726,5.4423,6.02752,6.72224,5.92698,6.05316,6.88748,4.07341,3.92142,3.91635,4.06698,4.0161,7.27705,5.22888,6.49849,4.1682,5.50061,4.06494,5.74409,8.10349,5.11207,6.28669,5.58075,3.7811,4.157,4.29928,4.06052,3.99801,4.13738,6.60067,5.88353,4.95966,3.93388,6.1228
"DDX28",7.36527,6.89455,7.17203,7.35269,7.45476,7.22275,6.49756,7.36954,7.67916,6.75531,6.80536,7.96417,7.24942,7.43434,7.68829,7.71751,6.92984,7.02088,6.88645,7.53816,7.24666,6.92429,6.81851,7.45833,6.72369,7.23405,7.3526,6.98402,7.29126,7.33384,7.46248,7.03104,6.87686,7.47927,8.15743,7.51561,8.1794,7.4111,6.73086,7.4905,7.31655,7.01633,7.05173,6.4276,7.15321,6.96739,7.10658,7.36377,7.39115,6.71306,7.13789,7.00633,7.84248,6.93091,6.9275,7.10562,6.89296,7.33823,6.66046,7.1979,7.26487,6.99574,7.49138,6.53408,6.86743,6.72399,7.09034,6.70788,7.12745,6.56575,7.7821,6.80101,6.74007,6.98005,6.93647,6.88117,7.25006,7.33489,7.0794,7.2798,7.35677,6.85848,7.258,8.00908,7.22988,6.72038,6.37951,7.80578,8.02473,6.84269,7.79303,6.64779,7.14625,6.81889,6.97357,7.24866,7.11097,7.65937,6.86101,6.74116
"LOC100134040",3.42368,3.45732,4.66563,3.73826,3.36114,3.55492,3.28175,3.56655,3.67179,3.53544,4.08732,4.12751,3.88818,4.31361,3.76908,4.12864,7.70561,3.6662,3.47518,4.29174,3.7058,3.8805,3.59181,3.76713,4.38684,3.38669,3.63289,3.84618,3.8329,3.41368,3.83729,3.32287,3.746,4.10462,3.78085,4.20314,4.46279,3.64228,3.36508,3.63848,3.8659,3.73696,4.10404,3.99974,3.92618,4.12257,3.42948,3.56664,3.31211,3.87726,3.40442,4.25189,4.26148,3.78268,3.41901,3.81321,4.10479,3.52468,3.29112,3.2243,3.94449,4.23674,4.90147,4.25075,3.66541,3.62912,4.22064,4.05784,3.6577,3.6422,4.14773,3.3865,3.25343,4.33089,4.23152,3.80502,3.65141,3.52662,3.98768,4.8706,4.38304,4.06218,3.66803,4.02356,3.8787,3.41741,3.35623,3.96652,4.53083,3.88192,4.06354,3.96024,3.50577,3.63892,3.55657,3.949,3.63937,4.76648,4.02223,3.94692
"SPTY2D1",7.25911,6.43912,7.79667,6.41459,6.64508,6.45012,7.22104,6.61542,6.67794,6.94117,6.41292,6.63329,6.94534,6.56657,6.9028,6.15353,6.07608,7.27244,6.8313,6.74882,7.06527,6.69113,6.01585,6.61944,7.14322,6.92023,7.15402,6.67349,6.47325,6.30992,6.33718,7.29342,6.22421,6.16501,6.88333,6.80407,5.90584,6.59468,6.66986,7.76631,7.84027,6.73998,6.47018,7.06962,7.43597,6.87818,6.28914,6.78101,6.30418,7.10665,6.09881,6.80307,7.01073,6.18205,7.24879,6.61544,6.48479,5.94898,6.14261,6.63773,7.46769,6.64485,6.24047,6.80639,5.75709,7.82104,6.32153,6.98508,6.81539,6.57233,6.35267,6.70437,8.06269,6.46043,6.67879,7.51478,7.06739,6.48217,7.14969,6.61679,7.52593,7.42422,6.34136,7.28922,6.73959,6.83684,7.26509,7.09639,6.64631,6.59556,6.27782,7.08328,7.2411,6.6382,6.90693,6.61092,5.96885,7.58409,6.95915,7.03322
"GLYATL2",4.60762,3.58784,4.77424,3.66083,3.73491,4.97001,4.6619,6.38711,3.57144,3.67517,3.81785,4.35168,7.79895,3.94793,4.1774,4.93956,4.16902,5.71148,3.92258,3.7952,3.86151,3.83743,3.78663,4.22346,3.96948,6.88187,3.53863,3.74372,3.73314,7.93138,3.7756,7.52906,3.92405,3.89802,3.93501,4.46147,3.71265,4.84051,4.15407,6.54542,3.78366,8.27576,4.99771,3.7672,3.93967,3.92286,4.51197,3.76024,3.94027,4.00105,3.61912,3.82666,4.02924,3.97193,3.82347,3.87738,3.92368,3.88484,3.7171,3.88252,4.82048,4.29991,3.98313,3.82417,3.58635,3.57234,3.77696,3.76966,3.93986,7.46215,5.42861,5.25503,3.4541,5.79853,3.77292,3.85591,3.65547,3.90174,3.72273,4.87346,3.76823,3.61874,3.67227,5.11156,4.69926,3.90615,3.88822,3.68589,4.17062,4.54955,3.70288,3.82567,3.66609,3.86669,4.07539,3.60041,5.74299,3.61318,3.62401,3.66063
"SLC38A4",3.30712,3.47121,3.32216,3.853,3.5072,3.52151,3.41202,3.96022,3.59269,3.29807,3.42608,3.35968,3.41415,3.22586,3.24177,3.71105,3.27956,3.4122,3.44278,3.35641,3.55059,6.07399,3.36269,3.6586,3.8366,3.72872,3.60915,3.33037,3.59363,3.33506,3.28747,3.27001,3.3866,3.37053,3.37415,3.27792,3.35385,3.45019,3.351,3.34898,6.15702,3.38793,3.40228,3.84858,4.23885,3.34602,3.335,4.3074,3.69123,3.34364,3.39364,3.51442,3.84594,3.30108,3.59052,3.75051,3.5774,3.74159,3.45203,3.27426,3.74838,4.43019,4.5527,3.28977,3.36944,3.93306,3.77209,3.62211,3.32549,3.37896,3.43801,3.41476,5.41805,3.27983,3.25282,3.32636,3.38662,3.70305,3.98964,3.25578,3.76882,3.84629,3.3898,3.3705,3.60607,3.32419,3.54558,3.78277,3.61498,3.30095,3.12649,3.89151,4.06567,3.27161,3.67739,3.51342,3.55253,3.27977,6.176,5.18273
"ATP1B2",6.05809,5.96672,5.7983,6.05827,5.87145,6.06531,5.72354,5.6844,6.30753,5.97134,6.56701,6.13948,5.79865,6.36439,5.74271,6.01736,5.9417,5.90859,6.35302,5.70665,5.92102,6.25192,6.19311,5.7513,5.62655,5.57933,5.87898,5.70105,6.139,5.81943,6.07854,5.89648,6.27484,6.15546,6.27251,5.69403,6.66183,5.94439,5.95158,5.87936,5.76065,6.08865,5.86275,6.03724,5.83926,5.68181,5.84052,5.97218,6.41512,6.14862,6.73797,5.86859,5.78481,5.97045,6.01655,5.72536,6.19621,6.34605,6.12954,6.27134,5.87446,5.92641,6.3514,6.115,6.39185,5.65853,6.05274,5.92295,6.26044,5.93556,6.01402,5.98324,5.75371,5.98148,5.76879,6.21832,6.03302,6.20818,6.35436,5.81737,5.86319,5.98629,5.94778,5.85569,6.243,6.31325,5.73644,5.8158,5.84547,6.11219,5.87279,6.18244,6.41097,6.17659,5.75242,6.27131,6.44499,6.06149,5.73921,5.48822
"PTPN7",6.5226,6.95306,6.05617,6.64173,7.23964,7.79187,6.40933,6.50354,7.00618,7.49037,6.74842,7.36462,6.13486,6.14985,7.00653,6.79589,6.85903,6.02073,7.62553,6.30234,6.8801,7.03216,7.23551,7.39959,6.54506,5.6799,8.07569,6.50872,6.50497,6.43468,6.08414,6.50229,7.89091,6.56984,6.47528,5.88473,6.2883,6.70768,7.33294,6.50189,7.12237,7.83931,6.6192,7.16048,6.29113,7.04956,6.42059,6.23807,7.85921,6.7258,7.44547,7.26703,6.49235,7.80513,7.01131,6.10348,6.65141,7.79326,7.05953,7.37638,5.38928,6.18175,7.31996,6.65462,7.39248,6.2971,6.624,6.66403,8.46269,6.70712,6.94755,6.01014,6.60509,6.71819,6.4774,6.58912,7.19943,7.32754,6.37515,7.59952,7.47012,7.30459,7.97228,5.8279,7.65135,6.91449,6.33671,6.64899,6.78837,6.62297,6.42237,7.03493,7.31056,6.86188,7.00616,6.7053,6.45583,6.76577,6.08296,6.39026
"PLEKHJ1",9.01776,9.25465,10.27254,8.3403,8.64611,8.38659,8.15509,8.84501,9.57263,8.94685,9.07444,8.72866,9.36093,8.48339,10.27752,9.4426,8.52785,9.25254,8.92677,8.99974,9.36933,8.96394,8.05808,9.11934,9.06779,8.87946,8.24332,9.18278,8.53635,8.8514,8.68863,8.20501,8.59907,8.51285,9.19845,9.59547,8.87755,8.74269,9.23841,8.10738,8.7028,9.17876,9.00492,8.66252,9.41284,8.92735,8.5904,8.65011,9.10547,8.47477,8.23397,8.86636,8.63932,8.93292,8.45645,9.01,8.28121,8.97538,8.40596,8.46444,9.02081,8.21365,9.22674,9.34589,8.32603,8.08158,8.43899,8.26411,8.46065,9.03119,9.23578,8.8758,8.04353,9.55124,8.65382,9.28532,8.8144,8.85436,8.71356,9.00625,8.47692,8.71278,8.8426,9.15328,8.59118,8.60228,8.61392,8.97666,8.81495,8.67485,8.79857,8.62263,8.71664,8.64944,8.86265,8.26874,8.12031,8.62743,7.78518,8.57918
"TOPBP1",9.73729,8.95121,10.38703,10.04737,8.46513,8.84379,9.50391,9.10469,9.86778,9.70453,8.9749,10.23795,9.71547,9.55466,10.45688,9.37044,10.59225,8.29102,10.22595,10.40892,9.54816,9.21851,10.29008,9.47492,8.87009,9.82456,8.81646,10.16215,10.88265,10.8659,8.12734,10.65681,8.95751,10.56809,10.81863,9.66647,9.27004,10.54993,9.00142,10.73841,9.79114,10.62865,9.79937,8.50323,9.07934,9.00164,10.74534,9.9645,10.25418,10.17503,8.08734,8.84806,10.28716,8.70502,9.71963,8.61509,9.95547,8.94927,10.19078,8.30826,10.09882,10.05815,8.64143,8.94055,9.47012,11.22441,8.48576,9.66508,8.87163,8.51086,9.89925,8.24386,9.30842,9.95682,9.79973,9.13083,8.58113,10.29199,8.82658,10.30215,9.47816,8.93248,8.71602,10.04522,10.40628,9.04637,8.72235,9.66747,9.96387,8.84146,10.51213,9.42528,9.73158,8.25784,9.63812,8.76114,9.65933,9.66444,9.96534,9.51712
